year,month,day,mean_wind_speed,rainfall,solar_radiation,evaporation,
2005,5,12,2.3,1.6,9.99,3.3,
2005,5,13,2.4,25.2,22.00,3.7,
2005,5,14,1.8,30.8,15.42,4.3,
2005,5,15,2.3,5.2,18.22,3.1,
2005,5,16,2.3,0.0,22.34,5.9,
2005,5,17,1.9,0.2,16.18,4.1,
2005,5,18,2.8,0.0,20.44,4.9,
2005,5,19,1.9,2.4,11.41,0.4,
2005,5,20,2.0,-33.3,15.05,3.2,
2005,5,21,2.2,39.2,15.08,1.9,
2005,5,22,2.9,0.0,22.31,3.1,
2005,5,23,2.6,0.8,20.97,3.5,
2005,5,24,2.2,0.6,20.49,3.7,
2005,5,25,2.3,-33.3,19.07,3.1,
2005,5,26,1.7,0.0,10.86,2.4,
2005,5,27,2.2,0.6,17.98,2.7,
2005,5,28,2.5,0.0,20.32,2.9,
2005,5,29,1.8,3.6,8.47,1.4,
2005,5,30,2.3,0.0,19.47,2.5,
2005,5,31,2.4,2.8,15.93,3.3,
2005,6,1,2.3,0.0,16.48,3.3,
2005,6,2,3.0,0.0,19.55,3.6,
2005,6,3,3.1,0.0,18.91,3.3,
2005,6,4,2.8,4.0,15.12,2.3,
2005,6,5,2.7,1.0,19.29,3.2,
2005,6,6,2.1,-33.3,17.66,2.9,
2005,6,7,2.7,0.2,15.49,2.8,
2005,6,8,2.2,0.0,9.13,2.5,
2005,6,9,3.5,0.0,17.58,2.9,
2005,6,10,2.7,0.0,22.07,3.7,
2005,6,11,2.1,0.0,22.13,3.9,
2005,6,12,2.3,-33.3,19.38,3.0,
2005,6,13,1.8,0.6,11.60,1.8,
2005,6,14,1.7,0.0,13.59,2.5,
2005,6,15,2.1,36.4,15.92,8.8,
2005,6,16,2.3,7.2,12.07,3.0,
2005,6,17,1.8,43.8,10.54,1.4,
2005,6,18,2.4,0.0,20.90,3.2,
2005,6,19,2.1,7.8,15.43,2.4,
2005,6,20,2.0,0.6,13.61,2.9,
2005,6,21,1.9,0.0,9.28,2.2,
2005,6,22,1.4,0.0,6.92,0.7,
